Fiscal_Year,Service,Department,Project,Project_id,Fund,Fund_Type,Thru_FY_Actuals,FY_Approved
2016,Seattle City Light,C3 Distribution - Radial,Mobile Workforce Implementation,8429,City Light Fund,Not Applicable,0,1491000
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Substation Comprehensive Improvements,9161,City Light Fund,Not Applicable,0,198000
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project West Phase,TC367110,2010 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Building For The Future - CIP,Smith Cove Park Development,K730311,Parks Capital Fund,Not Applicable,0,550000
2016,Seattle City Light,A1 Power Supply - Boundary,"Landis and Gyr RTU Modernization Boundary, CF, Skagit",6565,City Light Fund,Not Applicable,0,0
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Office Furniture and Equipment Purchase,9103,City Light Fund,Not Applicable,0,524000
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 26,A1FL126,2010 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Public Safety Facilities - Police,North Precinct,A1PS107,Federal Vice Enforcement Forfeiture,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Burke-Gilman Trail Extension,TC364830,2000 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project,TC365500,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Non-Arterial Concrete Rehabilitation,TC323160,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle City Light,C1 Distribution - Substations,Relaying Improvements,7753,City Light Fund,Not Applicable,0,4413000
2016,Seattle Public Utilities,Transmission,Cathodic Protection Program,C1208,Water Fund,Not Applicable,0,867249
2016,Seattle Department of Transportation,Major Projects,Magnolia Bridge Replacement Project,TC366060,To Be Determined,Not Applicable,0,0
2016,Department of Parks and Recreation,Fix It First - CIP,Zoo Major Maintenance,K730304,Parks Capital Fund,Not Applicable,0,1800000
2016,Seattle Center,Campuswide Improvements and Repairs,Site Signage,S9118,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Water Infrastructure - New Taps,C1113,Water Fund,Not Applicable,0,6630000
2016,Seattle Department of Transportation,Mobility-Capital,Cheshiahud Lake Union Trail Project,TC367070,2009 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Load Rating,TC365060,To Be Determined,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,Yesler Terrace Neighborhood Park Development,K730203,2008 Parks Levy Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Garden of Remembrance,Garden of Remembrance,A11452,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,26392.36
2016,Department of Parks and Recreation,Forest Restoration,Urban Forestry - Forest Restoration Program,K732410,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,200000
2016,Seattle City Light,A1 Power Supply - Boundary,Boundary - Access Road Stability Improvements,6615,City Light Fund,Not Applicable,0,519000
2016,Seattle Center,Facility Infrastructure Renovation and Repair,Roof/Structural Replacement and Repair,S9701,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,100000
2016,Seattle Public Utilities,Rehabilitation,Outfall Rehabilitation Program,C3708,Drainage and Wastewater Fund,Not Applicable,0,2325054
2016,Seattle Center,Parking Repairs and Improvements,Parking Repairs and Improvements,S0301,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Neighborhood Park Acquisition,Neighborhood Park Acquisitions- 2008 Parks Levy,K730010,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle City Light,A1 Power Supply - Boundary,Boundary Powerhouse - Unit 52 Generator Rebuild,6535,City Light Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement,TC366850,Transportation Operating Fund,Not Applicable,0,2793000
2016,Seattle Center,Lot 2 Development Project,Lot 2 Development,S0501,Seattle Center Capital Reserve Subfund,Not Applicable,0,0
2016,Seattle Center,Armory Rehabilitation,Armory Rehabilitation,S9113,Seattle Center Redevelopment and Parks Community Center - 1991 Levy Fund (Closed),Not Applicable,0,0
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Beach Restoration Program,K732303,Beach Maintenance Trust Fund,Not Applicable,0,25000
2016,Seattle Department of Transportation,Mobility-Capital,23rd Avenue Corridor Improvements,TC367420,To Be Determined,Not Applicable,0,0
2016,Seattle City Light,C5 Distribution - Distribution Other,Asset Investment and Optimization,9968,City Light Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Civic Square,Civic Square,A1GM501,Municipal Civic Center Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Information Technology,Human Resources Information System (HRIS),A1IT05,Finance and Administrative Services Fund,Not Applicable,0,500000
2016,Seattle City Light,A2 Power Supply - Skagit,Skagit - Relicensing,6986,City Light Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Pavement Microsurfacing,TC367610,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,2500000
2016,Finance and Administrative Services,General Government Facilities - General,Critical Infrastructure Upgrades: Seattle Municipal Tower,A1GM117,2014 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,C3 Distribution - Radial,Automated Utility Design Implementation,9950,City Light Fund,Not Applicable,0,644000
2016,Seattle Public Utilities,Rehabilitation and Heavy Equipment,Kent Highlands Landfill,C2402,Solid Waste Fund,Not Applicable,0,15000
2016,Department of Parks and Recreation,Building Component Renovations,Utility Conservation Program,K732336,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,105000
2016,Seattle Center,Campuswide Improvements and Repairs,General Site Improvements,S0305,Seattle Center Capital Reserve Subfund,Not Applicable,0,0
2016,Finance and Administrative Services,Maintenance Shops and Yards,Haller Lake Improvements,A1MSY03,2017 Multipurpose LTGO Bond Fund,Not Applicable,0,500000
2016,Seattle City Light,C2 Distribution - Network,Broad Street Substation - Network,8203,City Light Fund,Not Applicable,0,16754000
2016,Seattle Department of Transportation,Mobility-Capital,Broadway Streetcar Extension,TC367240,Transportation Operating Fund,Not Applicable,0,670000
2016,Seattle Department of Transportation,Mobility-Capital,Burke-Gilman Trail Extension,TC364830,2008 Parks Levy Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Forest Restoration,Urban Forestry - Green Seattle Partnership,K732340,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Forest Restoration,Urban Forestry - Tree Replacement,K732339,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Sound Transit North Link,TC367190,Transportation Operating Fund,Not Applicable,0,87226
2016,Seattle Department of Transportation,Mobility-Capital,Pedestrian Master Plan Implementation,TC367150,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Information Technology,Finance and Administration,Data Analytics Platform - Seattle Police Department,D102TR005,General Subfund,Not Applicable,0,0
2016,Department of Parks and Recreation,Building Component Renovations,Electrical System Replacement Program,K732307,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Elliott Bay Seawall Project,TC367320,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,13100000
2016,Seattle Department of Transportation,Mobility-Capital,Linden Avenue North Complete Streets,TC366930,2011 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Neighborhood Traffic Control Program,TC323250,Transportation Operating Fund,Not Applicable,0,298000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Seismic Retrofit Phase II,TC365810,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Parks Infrastructure,Fountain Discharge Retrofit,K732444,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Distribution System In-Line Gate Valves,C1136,Water Fund,Not Applicable,0,331224
2016,Seattle City Light,A2 Power Supply - Skagit,Diablo - Replace AC Panels,6584,City Light Fund,Not Applicable,0,528000
2016,Seattle Department of Transportation,Mobility-Capital,South Lake Union Streetcar,TC367400,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle City Light,C4 Distribution - Service Connections,Network Additions and Services - Denny,8405,City Light Fund,Not Applicable,0,1508000
2016,Seattle City Light,A2 Power Supply - Skagit,Ross Dam - New Access Road from SR20 to Dam,6452,City Light Fund,Not Applicable,0,0
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Madison Valley Long Term Solution,C3805,Drainage and Wastewater Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Habitat Conservation Program,Downstream Fish Habitat,C1607,Water Fund,Not Applicable,0,605000
2016,Seattle City Light,C5 Distribution - Distribution Other,Energy Management System,9956,City Light Fund,Not Applicable,0,1712000
2016,Seattle Department of Transportation,Mobility-Capital,Ballard to Downtown High Capacity Transit and Ship Canal Crossing Project,TC367390,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Retaining Wall Repair and Restoration,TC365890,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,Northwest Rooms Redevelopment,S1401,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle City Light,C2 Distribution - Network,First Hill - Network,8301,City Light Fund,Not Applicable,0,2446000
2016,Department of Parks and Recreation,Citywide and Neighborhood Projects,Landscape Restoration Program,K732402,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Technology,Science & System Performance,C5406,Solid Waste Fund,Not Applicable,0,52500
2016,Seattle Department of Transportation,Mobility-Capital,Broadway Streetcar Extension,TC367240,To Be Determined,Not Applicable,0,0
2016,Seattle Center,Monorail Improvements,Monorail Improvements,S9403,2007 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Building Component Renovations,Comfort Station Renovations,K732453,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,300000
2016,Seattle Department of Transportation,Mobility-Capital,Neighborhood Traffic Control Program,TC323250,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Golf Master Plan Implementation,K732391,2012 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Emergency Storms - DWF,C4120-DWF,Drainage and Wastewater Fund,Not Applicable,0,100000
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Lower Woodland Park Playfield #2 Synthetic Turf Replacement,K732477,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Security Improvements - SWF,C4113-SWF,Solid Waste Fund,Not Applicable,0,110125
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,Northwest Native Canoe Center Development,K730185,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Hazard Mitigation Program - Landslide Mitigation Projects,TC365510,Transportation Operating Fund,Not Applicable,0,1145000
2016,Department of Parks and Recreation,Building Component Renovations,HVAC System Duct Cleaning Program - Large Buildings,K732421,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,35000
2016,Seattle Public Utilities,Rehabilitation,Pump Station and Force Main Improvements,C3703,Drainage and Wastewater Fund,Not Applicable,0,3913305
2016,Seattle City Light,C5 Distribution - Distribution Other,Transformer and Network Load Management Tools Upgrade,9952,City Light Fund,Not Applicable,0,11000
2016,Seattle Public Utilities,New Facilities,South Park Development,C2304,Solid Waste Fund,Not Applicable,0,4534680
2016,Seattle Department of Transportation,Mobility-Capital,Pay Stations,TC366350,2010 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,D3 External Projects - Customer Other,Creston-Nelson to Intergate East Feeder Installation,8430,City Light Fund,Not Applicable,0,339000
2016,Finance and Administrative Services,General Government Facilities - Community-Based,MOB Repairs,A1GM207,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle City Light,C1 Distribution - Substations,Denny Substation Development,7757,City Light Fund,Not Applicable,0,41706000
2016,Seattle City Light,C1 Distribution - Substations,Substations Demand Driven Improvements,7755,City Light Fund,Not Applicable,0,5000
2016,Seattle Public Utilities,Shared Cost Projects,Sound Transit - North Link - DWF,C4135-DWF,Drainage and Wastewater Fund,Not Applicable,0,358800
2016,Seattle City Light,C3 Distribution - Radial,Broadband - City Light,8465,City Light Fund,Not Applicable,0,2600000
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 18,A1FL118,2016 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,A3 Power Supply - Cedar Falls - Tolt,Cedar Falls - Masonry Dam Stream Flow System Retrofit,6534,City Light Fund,Not Applicable,0,61000
2016,Department of Information Technology,Technology Infrastructure,Data and Telephone Infrastructure,COMMINFRA,Information Technology Fund,Not Applicable,0,2662000
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Walt Hundley PF Synthetic Turf Replacement,k732496,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Distribution System Improvements,C1128,Water Fund,Not Applicable,0,3030206.8800000004
2016,Seattle Department of Transportation,Major Maintenance/Replacement,"Miscellaneous, Unforeseen, and Emergencies",TC320030,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Center,Armory Rehabilitation,Armory Rehabilitation,S9113,Center House Merchants' Association Resources,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Eastlake Corridor Transit and Street Improvements,TC367380,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Arterial Major Maintenance,TC365940,Transportation Operating Fund,Not Applicable,0,1955000
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,Virgil Flaim Park Skatespot Development,K730182,2008 Parks Levy Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Major Parks,Washington Park Arboretum Improvements- 2008 Parks Levy,K730132,2008 Parks Levy Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Fire Stations - Land Acquisition,Fire Stations - Land Acquisition,A1FL101,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Miscellaneous Building Improvements,9007,City Light Fund,Not Applicable,0,1119000
2016,Seattle Center,Theatre Improvements and Repairs,Theatre Improvements and Repairs,S9604,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Sound Transit - Water Betterment,C4125,Water Fund,Not Applicable,0,0
2016,Seattle City Light,C3 Distribution - Radial,Overhead Customer Driven Capacity Additions,8355,City Light Fund,Not Applicable,0,3521000
2016,Department of Parks and Recreation,2008 Parks Levy- Cultural Facilities,Seattle Asian Art Museum Renovation,K730122,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle City Light,A1 Power Supply - Boundary,Boundary Powerhouse - Unit 56 Turbine Runner Replacement,6490,City Light Fund,Not Applicable,0,73000
2016,Department of Parks and Recreation,Building For The Future - CIP,Develop 14 New Parks at Land-Banked Sites,K730308,Parks Capital Fund,Not Applicable,0,4998000
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Tennis & Basketball Court Renovation Program,K732404,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Tennis & Basketball Court Renovation Program,K732404,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 29,A1FL129,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project West Phase,TC367110,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Finance and Administrative Services,Fire Stations - Land Acquisition,Fire Stations - Land Acquisition,A1FL101,2003 Fire Facilities Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Aquarium - Pier 59 Piling Replacement and Aquarium Redevelopment Debt Service,K732283,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,171000
2016,Seattle Center,Campuswide Improvements and Repairs,Fun Forest Site Restoration,S0901,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Center,Lot 2 Development Project,Lot 2 Development,S0501,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,New Facilities,Miscellaneous Station Improvements,C2303,Solid Waste Fund,Not Applicable,0,100000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Arterial Asphalt and Concrete Program,TC365440,2009 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 20,A1FL120,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Thornton Confluence Improvement,C3811,Drainage and Wastewater Fund,Not Applicable,0,49566
2016,Seattle City Light,A3 Power Supply - Cedar Falls - Tolt,Cedar Falls - New Generator 5/6 Exciters,6531,City Light Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Public Safety Facilities - Fire,Fire Station 31 Expansion,A1PS207,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,450000
2016,Seattle Public Utilities,Water Quality & Treatment,Treatment Facility/Water Quality Improvements,C1413,Water Fund,Not Applicable,0,225000
2016,Seattle City Light,A1 Power Supply - Boundary,Boundary - Licensing Mitigation,6987,City Light Fund,Not Applicable,0,14294000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,South Park Bridge,TC365780,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,Seattle Center Long Range Investment Plan,S0703,KeyArena Settlement Proceeds Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Citywide and Neighborhood Projects,Neighborhood Response Program,K732416,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Queen Anne Bowl Playfield Turf Replacement,K732470,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Watershed Stewardship,Tolt Bridges,C1308,Water Fund,Not Applicable,0,450000
2016,Finance and Administrative Services,Maintenance Shops and Yards,Maintenance Shops and Yards,A1MSY01,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Pay Stations,TC366350,2005 LTGO Capital Project Fund,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,Seattle Center Long Range Investment Plan,S0703,Seattle Center Capital Reserve Subfund,Not Applicable,0,290000
2016,Department of Parks and Recreation,2008 Parks Levy- Neighborhood Parks and Playgrounds,Neighborhood Parks & Playgrounds- 2008 Parks Levy,K730020,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Cheshiahud Lake Union Trail Project,TC367070,To Be Determined,Not Applicable,0,0
2016,Seattle City Light,E2 Central Utility Projects - Finance and IT Systems,Information Technology Infrastructure,9915,City Light Fund,Not Applicable,0,5155000
2016,Department of Parks and Recreation,Debt and Special Funding,Puget Park - Environmental Remediation,K73127,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,1% for Art Ã¢â‚¬â€œ WF,C4118-WF,Water Fund,Not Applicable,0,92625
2016,Seattle City Light,A3 Power Supply - Cedar Falls - Tolt,Cedar Falls/South Fork Tolt - Minor Improvements Program,6406,City Light Fund,Not Applicable,0,1231000
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Bothell Substation Environmental Remediation,9231,City Light Fund,Not Applicable,0,467000
2016,Seattle Department of Transportation,Mobility-Capital,Aurora Rapid Ride Improvements,TC367220,Transportation Operating Fund,Not Applicable,0,1605
2016,Department of Parks and Recreation,Debt and Special Funding,Golf Master Plan Implementation,K732391,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Fauntleroy Way SW Boulevard,TC367200,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 28,A1FL128,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Ballfield Lighting Replacement Program,K732310,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Transmission,Water System Dewatering,C1205,Water Fund,Not Applicable,0,24000
2016,Seattle City Light,A1 Power Supply - Boundary,Boundary Facility - Minor Improvements Program,6401,City Light Fund,Not Applicable,0,1414000
2016,Seattle Center,Armory Rehabilitation,Armory Rehabilitation,S9113,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Finance and Administrative Services,General Government Facilities - General,ADA Improvements - Citywide,A1GM902,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,195000
2016,Department of Parks and Recreation,Building Component Renovations,Pioneer Square Comfort Station,K732494,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Center,McCaw Hall Capital Reserve Fund,McCaw Hall Asset Preservation,S0303,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Information Technology,Office of Electronic Communications,Seattle Channel Maintenance and Upgrade,D404EC001,Information Technology Fund,Not Applicable,0,466000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement,TC366850,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,C3 Distribution - Radial,Underground Customer Driven Capacity Additions,8360,City Light Fund,Not Applicable,0,2918000
2016,Seattle Public Utilities,Shared Cost Projects,Other Major Transportation Projects - DWF,C4123-DWF,Drainage and Wastewater Fund,Not Applicable,0,250000
2016,Department of Parks and Recreation,Parks Infrastructure,Irrigation Replacement and Outdoor Infrastructure Program,K732406,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,300000
2016,Seattle Department of Transportation,Mobility-Capital,NSF/CRS Neighborhood Program,TC365770,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Aquarium Expansion,K732492,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,600000
2016,Seattle Public Utilities,Technology,Project Delivery & Performance,C5405,Water Fund,Not Applicable,0,5558032
2016,Seattle Department of Transportation,Mobility-Capital,Bike Share Expansion,TC367690,Transportation Operating Fund,Not Applicable,0,5000000
2016,Seattle Department of Transportation,Mobility-Capital,S Lander St. Grade Separation,TC366150,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Center,McCaw Hall Capital Reserve Fund,McCaw Hall Asset Preservation,S0303,McCaw Hall Capital Reserve,Not Applicable,0,545000
2016,Seattle Department of Transportation,Mobility-Capital,Fauntleroy Way SW Boulevard,TC367200,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Building For The Future - CIP,Major Projects Challenge Fund,K730307,Parks Capital Fund,Not Applicable,0,1600000
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Localized Flood Control Program,C3802,Drainage and Wastewater Fund,Not Applicable,0,2677602
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Delridge Playfield Synthetic Turf Resurfacing,K732487,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle City Light,A2 Power Supply - Skagit,Newhalem - Generator 20/Support Facility Rebuild,6479,City Light Fund,Not Applicable,0,762000
2016,Seattle City Light,C1 Distribution - Substations,Replace Breakers BPA Covington and Maple Valley Substations,7121,City Light Fund,Not Applicable,0,13000
2016,Seattle Public Utilities,Shared Cost Projects,First Hill Streetcar - WF,C4130-WF,Water Fund,Not Applicable,0,655000
2016,Finance and Administrative Services,General Government Facilities - General,City Hall and Seattle Municipal Tower Tenant Improvements,A1GM118,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,350000
2016,Seattle Public Utilities,Technology,Customer Contact & Billing,C5402,Water Fund,Not Applicable,0,5107686.12
2016,Finance and Administrative Services,Asset Preservation - Public Safety Facilities,Asset Preservation - Public Safety Facilities,A1AP601,Cumulative Reserve Subfund - Asset Preservation Subaccount - Fleets and Facilities,Not Applicable,0,0
2016,Seattle Public Utilities,Protection of Beneficial Uses,Creek Culvert Replacement Program,C3314,Drainage and Wastewater Fund,Not Applicable,0,1463224
2016,Seattle Department of Transportation,Major Projects,Spokane St. Viaduct,TC364800,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,1% for Art Ã¢â‚¬â€œ DWF,C4118-DWF,Drainage and Wastewater Fund,Not Applicable,0,761794
2016,Seattle Center,Theatre Improvements and Repairs,Theatre Improvements and Repairs,S9604,2002B LTGO Capital Project Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 29,A1FL129,2010 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,Woodland Park Zoo Seattle Sensory Garden Development,K730188,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement,TC366850,2009 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Loyal Heights Playfield Turf Replacement,K732465,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement Phase II,TC367450,2011 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Gas Works Park - Remediation,K73582,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Combined Sewer Overflows,Windermere Combined Sewer Overflow Storage,C3605,Drainage and Wastewater Fund,Not Applicable,0,162000
2016,Seattle Public Utilities,Shared Cost Projects,Operations Control Center - WF,C4105-WF,Water Fund,Not Applicable,0,63000
